P1X,P1Y,P2X,P2Y
0,-10,0,0
10,-1,58,15
27,21,55,26
19,61,46,34
3,100,30,45
2,100,39,56
3,100,47,66
1,99,61,76
0,100,55,89
0,100,100,100
